Desired Position_x (m),Desired Position_y (m),Actual Position_x (m),Actual Position_y (m),Theta vs. Time_time(s),Theta vs. Time_theta,Robot Velocity_time (s),Robot Velocity_velocity (m/s)
0.079,0.15,0.5707256097560975,0.12777439024390244,2.1029109954833984,-2.9656530281372655,2.167372226715088,0.012013271063953022
0.08,0.15,0.5707256097560975,0.12854878048780488,2.167372226715088,-2.9656530281372655,2.2346839904785156,0.012862456201299078
0.081,0.15,0.5711128048780488,0.12777439024390244,2.2346839904785156,-2.963717390583717,2.299536943435669,0.005970354537396302
0.082,0.15,0.5707256097560975,0.12777439024390244,2.299536943435669,-2.9656530281372655,2.366481065750122,0.005783855379154608
0.08300000000000002,0.15,0.5707256097560975,0.12816158536585368,2.366481065750122,-2.9764439761751667,2.4320950508117676,0.008345425022329014
0.084,0.15,0.5711128048780488,0.12777439024390244,2.4320950508117676,-2.9675474137470546,2.4974353313446045,0.0
0.085,0.15,0.5711128048780488,0.12777439024390244,2.4974353313446045,-2.9675474137470546,2.563192129135132,0.005888290411961202
0.08600000000000001,0.15,0.5711128048780488,0.12816158536585368,2.563192129135132,-2.9782265054815173,2.6295711994171143,0.0
0.08700000000000001,0.15,0.5711128048780488,0.12816158536585368,2.6295711994171143,-2.9782265054815173,2.6960930824279785,0.00823152574707979
0.08800000000000001,0.15,0.5707256097560975,0.12854878048780488,2.6960930824279785,-2.9656530281372655,2.7618651390075684,0.013163563042788448
0.08900000000000001,0.15,0.5711128048780488,0.12777439024390244,2.7618651390075684,-2.942037269884506,2.8275420665740967,0.013182629658828991
0.09,0.15,0.5715000000000001,0.12854878048780488,2.8275420665740967,-2.9656530281372655,2.894116163253784,0.016450139620602332
0.091,0.15,0.5707256097560975,0.12777439024390244,2.894116163253784,-2.9656530281372655,2.9559922218322754,0.006257591883622052
0.092,0.15,0.5711128048780488,0.12777439024390244,2.9559922218322754,-2.963717390583717,3.0259451866149902,0.011070156158610579
