Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta,Robot Velocity: time (s),Robot Velocity: velocity (m/s)
0.29,0.2,0.4452743902439025,0.21179573170731708,16.24360489845276,0.4452743902439025,16.24360489845276,0.21179573170731708,16.24360489845276,2.720929304456759,16.30860686302185,0.14345556206895377
0.29100000000000004,0.2,0.4383048780487805,0.2179908536585366,16.30860686302185,0.4383048780487805,16.30860686302185,0.2179908536585366,16.30860686302185,2.827360754505455,16.375033140182495,0.12836919959751103
0.292,0.2,0.4317225609756098,0.22341158536585365,16.375033140182495,0.4317225609756098,16.375033140182495,0.22341158536585365,16.375033140182495,2.9255076812930065,16.439724922180176,0.09650891583621951
0.29300000000000004,0.2,0.42630182926829274,0.2265091463414634,16.439724922180176,0.42630182926829274,16.439724922180176,0.2265091463414634,16.439724922180176,3.0202406530190293,16.507249116897583,0.12055399262862304
0.294,0.2,0.4189451219512195,0.2299939024390244,16.507249116897583,0.4189451219512195,16.507249116897583,0.2299939024390244,16.507249116897583,3.0940095503128098,16.57305598258972,0.14884993793816587
0.29500000000000004,0.2,0.4096524390243903,0.23309146341463416,16.57305598258972,0.4096524390243903,16.57305598258972,0.23309146341463416,16.57305598258972,-3.0940095503128098,16.639042139053345,0.14385146222140568
0.296,0.2,0.400359756097561,0.23502743902439027,16.639042139053345,0.400359756097561,16.639042139053345,0.23502743902439027,16.639042139053345,-3.0231026944316555,16.704575061798096,0.1605086789673461
0.29700000000000004,0.2,0.3899054878048781,0.23618902439024392,16.704575061798096,0.3899054878048781,16.704575061798096,0.23618902439024392,16.704575061798096,-3.0443394553382275,16.77069401741028,0.1351971375815278
0.298,0.2,0.381,0.23696341463414636,16.77069401741028,0.381,16.77069401741028,0.23696341463414636,16.77069401741028,-2.999695598985629,16.836644172668457,0.14724460037294973
0.29900000000000004,0.2,0.37132012195121955,0.2377378048780488,16.836644172668457,0.37132012195121955,16.836644172668457,0.2377378048780488,16.836644172668457,-2.996282642954091,16.90268588066101,0.11856956720724929
0.3,0.2,0.3635762195121951,0.23889939024390244,16.90268588066101,0.3635762195121951,16.90268588066101,0.23889939024390244,16.90268588066101,-2.9255076812930065,16.968796968460083,0.11713470004547424
